accx,accy,accz,gyrx,gyry,gyrz,anglex,angley,anglez,magx,magy,magz
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-418,209,238
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0034906585,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-419,206,238
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-420,208,235
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,212,234
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1168089782,2.3160519174,-419,209,239
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,212,238
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,212,238
-0.1030000000,0.0250000000,-1.0000000000,0.0017453293,0.0000000000,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-422,212,235
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-417,211,240
-0.1030000000,0.0250000000,-0.9990000000,0.0017453293,0.0017453293,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-417,211,240
-0.1030000000,0.0240000000,-0.9990000000,0.0017453293,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-417,211,240
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0034906585,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-423,210,235
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-420,209,235
-0.1020000000,0.0240000000,-1.0000000000,-0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,211,238
-0.1020000000,0.0240000000,-1.0010000000,0.0017453293,0.0052359878,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,211,238
-0.1020000000,0.0240000000,-1.0010000000,-0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-418,216,238
-0.1030000000,0.0240000000,-1.0010000000,0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,213,238
-0.1030000000,0.0240000000,-1.0010000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,215,237
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,215,237
-0.1030000000,0.0240000000,-0.9990000000,-0.0017453293,0.0000000000,0.0017453293,0.1031489588,3.1168089782,2.3160519174,-423,212,235
-0.1030000000,0.0240000000,-0.9990000000,-0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-417,212,237
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,206,237
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-422,209,237
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-422,209,237
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,213,235
-0.1020000000,0.0240000000,-1.0000000000,-0.0017453293,0.0000000000,0.0034906585,0.1031489588,3.1168089782,2.3160519174,-421,208,235
-0.1020000000,0.0240000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,208,235
-0.1020000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-421,211,237
-0.1020000000,0.0240000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,211,237
-0.1020000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,211,236
-0.1020000000,0.0250000000,-1.0000000000,0.0017453293,-0.0017453293,0.0000000000,0.1029744259,3.1168089782,2.3160519174,-419,211,236
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1029744259,3.1168089782,2.3160519174,-419,211,236
-0.1040000000,0.0250000000,-1.0000000000,0.0017453293,0.0000000000,0.0000000000,0.1029744259,3.1168089782,2.3160519174,-418,213,234
-0.1040000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1029744259,3.1168089782,2.3160519174,-417,210,235
-0.1040000000,0.0240000000,-1.0000000000,0.0017453293,0.0000000000,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-421,204,238
-0.1030000000,0.0240000000,-1.0010000000,-0.0017453293,-0.0034906585,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-417,208,237
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-417,208,237
-0.1030000000,0.0240000000,-1.0000000000,0.0034906585,0.0017453293,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-417,209,238
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,208,235
-0.1030000000,0.0240000000,-0.9990000000,-0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-417,210,238
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-417,208,233
-0.1040000000,0.0240000000,-1.0000000000,-0.0017453293,0.0000000000,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-417,208,233
-0.1040000000,0.0250000000,-1.0000000000,0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,205,237
-0.1040000000,0.0250000000,-1.0000000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,208,237
-0.1040000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,207,238
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,206,235
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,206,235
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,-0.0034906585,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-418,212,238
-0.1040000000,0.0250000000,-0.9990000000,0.0017453293,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-414,211,237
-0.1040000000,0.0250000000,-0.9980000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-418,211,237
-0.1040000000,0.0250000000,-0.9980000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,212,234
-0.1040000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,212,234
-0.1040000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,208,233
-0.1040000000,0.0250000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-423,211,235
-0.1040000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-423,211,235
-0.1040000000,0.0240000000,-0.9990000000,0.0034906585,0.0034906585,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-415,209,238
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-415,209,238
-0.1040000000,0.0240000000,-1.0000000000,0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,211,235
-0.1040000000,0.0250000000,-1.0000000000,0.0000000000,-0.0034906585,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,211,236
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,208,234
-0.1040000000,0.0250000000,-0.9990000000,-0.0017453293,-0.0034906585,0.0034906585,0.1031489588,3.1166344453,2.3160519174,-421,213,234
-0.1030000000,0.0250000000,-0.9990000000,0.0017453293,0.0052359878,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,213,234
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,210,235
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-418,210,239
-0.1040000000,0.0240000000,-1.0000000000,0.0000000000,0.0034906585,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-417,209,236
-0.1040000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,208,239
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,208,239
-0.1030000000,0.0240000000,-1.0010000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,214,234
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,211,236
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,206,233
-0.1030000000,0.0250000000,-1.0000000000,0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,211,231
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,211,231
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,212,234
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,-0.0034906585,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-422,211,235
